E0625 18:13:23.174170       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-lvls9" "namespace"="default"
E0625 18:13:24.450363       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-f68fq" "namespace"="default"
E0625 18:13:25.757201       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-control-plane-ddq2b" "namespace"="default"
E0625 18:13:27.023250       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-9swsc" "namespace"="default"
E0625 18:13:28.291371       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
E0625 18:13:29.561891       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-lvls9" "namespace"="default"
E0625 18:13:30.828952       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-f68fq" "namespace"="default"
E0625 18:13:32.099982       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-control-plane-ddq2b" "namespace"="default"
E0625 18:13:33.380696       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-9swsc" "namespace"="default"
E0625 18:13:34.647343       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
